Current process id = 4372
create process: getpid(): 4372, getCurrentProcessId(): 4372
In Child: PID: 5624 getpid(): 4372
Current process id = 5624
fork: getpid(): 5624, getCurrentProcessId(): 5624
In Child: PID: 4364 getpid(): 5624
Current process id = 4364
In Child: PID: 3832 getpid(): 5624
Current process id = 3832
test2: getpid(): 4364, getCurrentProcessId(): 4364
test: getpid(): 3832, getCurrentProcessId(): 3832
Hello World!
Procedure,Image,Section Name,Section Size,Offset,Calls,Pid,Size
GetCurrentPackageId,KERNELBASE.dll,.text,987184,8ce0,2,4364,96
BasepAdjustObjectAttributesForPrivateNamespace,KERNELBASE.dll,.text,987184,88c0,14,4364,240
LCMapStringW,KERNELBASE.dll,.text,987184,7650,4,4364,1168
LCMapStringEx,KERNELBASE.dll,.text,987184,7090,4,4364,1472
CreateMutexExW,KERNELBASE.dll,.text,987184,6e30,14,4364,160
GetVersionExW,KERNELBASE.dll,.text,987184,6110,2,4364,160
VirtualQuery,KERNELBASE.dll,.text,987184,5f20,1,4364,80
_amsg_exit,KERNELBASE.dll,.text,987184,5e00,15,4364,16
GetFileType,KERNELBASE.dll,.text,987184,5c90,3,4364,224
GetStdHandle,KERNELBASE.dll,.text,987184,5b70,3,4364,288
WideCharToMultiByte,KERNELBASE.dll,.text,987184,5230,132,4364,384
MultiByteToWideChar,KERNELBASE.dll,.text,987184,4e80,262,4364,912
GetModuleHandleExW,KERNELBASE.dll,.text,987184,4310,1,4364,304
GetProcAddressForCaller,KERNELBASE.dll,.text,987184,41e0,1,4364,192
DuplicateHandle,KERNELBASE.dll,.text,987184,2d30,1,4364,224
GetModuleHandleW,KERNELBASE.dll,.text,987184,29d0,4,4364,80
GetModuleFileNameA,KERNELBASE.dll,.text,987184,25d0,1,4364,272
GetModuleFileNameW,KERNELBASE.dll,.text,987184,2500,1,4364,208
GetThreadPriority,KERNELBASE.dll,.text,987184,2330,1,4364,80
ReleaseSemaphore,KERNELBASE.dll,.text,987184,22b0,4,4364,48
FlushInstructionCache,KERNELBASE.dll,.text,987184,22a0,2,4364,16
GetACP,KERNELBASE.dll,.text,987184,2290,1,4364,16
BaseFormatObjectAttributes,KERNELBASE.dll,.text,987184,2010,19,4364,192
WriteFile,KERNELBASE.dll,.text,987184,1c50,2,4364,208
CreateEventA,KERNELBASE.dll,.text,987184,1b70,1,4364,224
KernelBaseGetGlobalData,KERNELBASE.dll,.text,987184,1740,14,4364,16
FlsSetValue,KERNELBASE.dll,.text,987184,16e0,1,4364,96
TlsSetValue,KERNELBASE.dll,.text,987184,1690,1,4364,80
GetSystemTimeAsFileTime,KERNELBASE.dll,.text,987184,1630,2,4364,96
FlsGetValue,KERNELBASE.dll,.text,987184,1500,428,4364,80
CloseHandle,KERNELBASE.dll,.text,987184,14c0,18,4364,64
GetLastError,KERNELBASE.dll,.text,987184,1470,428,4364,48
GetTickCount,KERNELBASE.dll,.text,987184,12e0,1,4364,32
WaitForSingleObjectEx,KERNELBASE.dll,.text,987184,1080,22,4364,224
WaitForSingleObject,KERNELBASE.dll,.text,987184,1070,22,4364,16
ReleaseMutex,KERNELBASE.dll,.text,987184,1010,14,4364,48
unnamedImageEntryPoint,test2.exe,.text,461256,1500,1,4364,200000
In test: Result = 90.
Procedure,Image,Section Name,Section Size,Offset,Calls,Pid,Size
_get_output_format,msvcrt.dll,.text,593252,77340,1,3832,16
__lconv_init,msvcrt.dll,.text,593252,66390,1,3832,32
fputc,msvcrt.dll,.text,593252,34340,23,3832,320
_strnicmp_l,msvcrt.dll,.text,593252,18750,1,3832,448
_getpid,msvcrt.dll,.text,593252,179b0,1,3832,32
_mbsnbicoll_l,msvcrt.dll,.text,593252,16810,1,3832,1472
_mbsnbicoll,msvcrt.dll,.text,593252,16800,1,3832,16
_strnicoll_l,msvcrt.dll,.text,593252,166c0,1,3832,320
getenv,msvcrt.dll,.text,593252,16480,1,3832,576
___lc_codepage_func,msvcrt.dll,.text,593252,107c0,384,3832,48
__iob_func,msvcrt.dll,.text,593252,efe0,7,3832,432
strcpy_s,msvcrt.dll,.text,593252,ea70,53,3832,208
_ismbblead,msvcrt.dll,.text,593252,e9e0,32,3832,144
_msize,msvcrt.dll,.text,593252,e910,6,3832,80
fflush,msvcrt.dll,.text,593252,d560,7,3832,80
fwrite,msvcrt.dll,.text,593252,9340,4,3832,1104
__getmainargs,msvcrt.dll,.text,593252,8e90,1,3832,1200
atexit,msvcrt.dll,.text,593252,87b0,1,3832,1760
??0exception@@QEAA@AEBV0@@Z,msvcrt.dll,.text,593252,8730,1,3832,128
_setmbcp,msvcrt.dll,.text,593252,7ee0,1,3832,2128
__crtLCMapStringA,msvcrt.dll,.text,593252,75f0,2,3832,2288
